expression,reading,meaning,tags
賄う,まかなう,"to give board to, to provide meals, to pay",n1
紛らわしい,まぎらわしい,"confusing, misleading, ambiguous",n1
紛れる,まぎれる,"to be diverted, to slip into",n1
真心,まごころ,"sincerity, devotion",n1
誠,まこと,"truth, faith, fidelity",n1
誠に,まことに,"indeed, really very polite, absolutely",n1
勝る,まさる,"to excel, to surpass, to outrival",n1
～増し,まし,increase,n1
交える,まじえる,"to mix, to converse with, to cross swords",n1
真下,ました,"right under, directly below",n1
交わる,まじわる,"to cross, to intersect, to mingle with,",n1
麻酔,ますい,anesthesia,n1
待ち合わせ,まちあわせ,appointment,n1
待ち遠しい,まちどおしい,looking forward to,n1
待ち望む,まちのぞむ,"to look anxiously for, to wait eagerly for",n1
末期,まっき,"deathbed, hour of death",n1
真っ二つ,まっぷたつ,in two equal parts,n1
纏まり,まとまり,"conclusion, settlement, consistency",n1
纏め,まとめ,"settlement, conclusion",n1
免れる,まぬがれる,"to escape from, to be exempted",n1
招き,まねき,invitation,n1
瞬き,まばたき,"wink, twinkling of stars, flicker of light",n1
麻痺,まひ,"paralysis, palsy, numbness",n1
眉,まゆ,eyebrow,n1
鞠,まり,ball,n1
丸ごと,まるごと,"in its entirety, whole, wholly",n1
丸々,まるまる,completely,n1
丸める,まるめる,"to make round, to round off, to roll up",n1
満月,まんげつ,full moon,n1
満場,まんじょう,"unanimous, whole audience",n1
真ん前,まんまえ,"right in front, under the nose",n1
真ん丸い,まんまるい,perfectly circular,n1
真ん円い,まんまるい,perfectly round,n1
～味,み, cast sense of taste,n1
見合い,みあい,formal marriage interview,n1
見合わせる,みあわせる,to exchange glances to postpone,n1
見落とす,みおとす,"to overlook, to fail to notice",n1
未開,みかい,"savage land, backward region, uncivilized",n1
味覚,みかく,"taste, palate, sense of taste",n1
幹,みき,tree trunk,n1
見苦しい,みぐるしい,"unsightly, ugly",n1
見込み,みこみ,"prospects, expectation, hope",n1
未婚,みこん,unmarried,n1
未熟,みじゅく,"inexperience, unskilled, immature",n1
微塵,みじん,"particle, atom",n1
水気,みずけ,"moisture, dampness",n1
見せびらかす,みせびらかす,"to show off, to flaunt",n1
見せ物,みせもの,"show, exhibition",n1
満たす,みたす,"to satisfy, to ingratiate, to fill, to fulfill",n1
乱す,みだす,"to throw out of order, to disarrange, to disturb",n1
乱れる,みだれる,"to get confused, to be disordered, to be disturbed",n1
未知,みち,not yet known,n1
身近,みぢか,"near oneself, close to one, familiar",n1
導く,みちびく,"to be guided, to be shown",n1
密集,みっしゅう,"crowd, close formation, dense",n1
密接,みっせつ,"connected, close, intimate",n1
密度,みつど,density,n1
見積もり,みつもり,"estimation, quotation",n1
未定,みてい,"not yet fixed, undecided, pending",n1
見通し,みとおし,"perspective, unobstructed view, prospect",n1
見なす,みなす,"to consider as, to regard",n1
源,みなもと,"source, origin",n1
見習う,みならう,to follow another's example,n1
身なり,みなり,personal appearance,n1
峰,みね,"peak, ridge",n1
身の上,みのうえ,"one's future, one's welfare, one's personal history",n1
見逃す,みのがす,"to miss, to overlook, to leave at large",n1
身の回り,みのまわり,"one's personal appearance, personal belongings",n1
見計らう,みはからう,to choose at one's own discretion,n1
見晴らし,みはらし,view,n1
身振り,みぶり,gesture,n1
脈,みゃく,pulse,n1
未練,みれん,"lingering affection, attachment, regrets",n1
見渡す,みわたす,"to look out over, to survey scene, to take an extensive view of",n1
民宿,みんしゅく,private house providing lodging and meals to tourists,n1
民族,みんぞく,"people, race",n1
民俗,みんぞく,folk customs,n1
無意味,むいみ,"nonsense, no meaning",n1
無口,むくち,reticence,n1
婿,むこ,soninlaw,n1
無効,むこう,"invalid, no effect, unavailable",n1
無言,むごん,silence,n1
無邪気,むじゃき,"innocence, simplemindedness",n1
結び,むすび,"ending, conclusion, union",n1
結び付き,むすびつき,"connection, relation",n1
結び付く,むすびつく,"to be connected or related, to join together",n1
結び付ける,むすびつける,"to combine, to join, to tie on, to attach with a knot",n1
無線,むせん,"wireless, radio",n1
無駄遣い,むだづかい,"waste money on, squander money on",n1
無断,むだん,"without permission, without notice",n1
無知,むち,ignorance,n1
無茶,むちゃ,"absurd, unreasonable",n1
無茶苦茶,むちゃくちゃ,"confused, jumbled, mixed up, unreasonable",n1
空しい,むなしい,"vacant, futile, vain",n1
無念,むねん,"chagrin, regret",n1
無能,むのう,"inefficiency, incompetence",n1
無闇に,むやみに,"unreasonably, absurdly, at random",n1
無用,むよう,"useless, needlessness, unnecessariness",n1
斑,むら,"unevenness, inconsistency, irregularity",n1
群がる,むらがる,"to swarm, to gather",n1
無論,むろん,"of course, naturally",n1
名産,めいさん,noted product,n1
名称,めいしょう,name,n1
命中,めいちゅう,a hit,n1
明白,めいはく,"obvious, clear",n1
名簿,めいぼ,register of names,n1
名誉,めいよ,"honor, credit, prestige",n1
明瞭,めいりょう,clarity,n1
明朗,めいろう,"bright, clear, cheerful",n1
目方,めかた,weight,n1
恵み,めぐみ,blessing,n1
恵む,めぐむ,"to bless, to show mercy to",n1
目覚しい,めざましい,"brilliant, remarkable",n1
目覚める,めざめる,to wake up,n1
召す,めす,"to call, to send for, to put on",n1
雌,めす,female animal,n1
目付き,めつき,"look, expression of the eyes, eyes",n1
滅亡,めつぼう,"downfall, collapse, destruction",n1
目途,めど,"goal, outlook",n1
目盛,めもり,"scale, gradations",n1
面会,めんかい,interview,n1
免除,めんじょ,"exemption, exoneration, discharge",n1
面する,めんする,"to face on, to look out on to",n1
面目,めんぼく,"face, honor, reputation",n1
～網,もう, network,n1
設ける,もうける,"to create, to establish",n1
申し入れる,もうしいれる,"to propose, to suggest",n1
申込,もうしこみ,"application, request, proposal",n1
申出,もうしで,"request, claim, report",n1
申し出る,もうしでる,"to report to, to tell, to suggest",n1
申し分,もうしぶん,"objection, shortcomings",n1
盲点,もうてん,blind spot,n1
猛烈,もうれつ,"violent, vehement, rage",n1
目録,もくろく,"catalogue, catalog, list",n1
目論見,もくろみ,"a plan, a scheme, intention",n1
模型,もけい,"model, dummy, marquette",n1
模索,もさく,groping for,n1
持ち切り,もちきり,"hot topic, talk of the town",n1
目下,もっか,"at present, now",n1
専ら,もっぱら,"wholly, solely, entirely",n1
物好き,ものずき,idle curiosity,n1
物足りない,ものたりない,"unsatisfied, unsatisfactory",n1
模範,もはん,"model, example",n1
模倣,もほう,"imitation, copying",n1
股,もも,"thigh, femur",n1
腿,もも,"thigh, femur",n1
催す,もよおす,"to hold a meeting, to give a dinner",n1
漏らす,もらす,"to let leak, to reveal",n1
盛り上がる,もりあがる,"to rouse, to swell, to rise",n1
漏る,もる,"to leak, to run out",n1
漏れる,もれる,"to leak out, to escape, to filter out",n1
脆い,もろい,"brittle, fragile, tenderhearted",n1
矢,や,arrow,n1
野外,やがい,"fields, outskirts, open air, suburbs",n1
～薬,やく,medicine,n1
夜具,やぐ,bedding,n1
役職,やくしょく,"post, managerial position, official position",n1
役場,やくば,town hall,n1
屋敷,やしき,mansion,n1
養う,やしなう,"to rear, to maintain, to cultivate",n1
野心,やしん,"ambition, aspiration",n1
安っぽい,やすっぽい,"cheaplooking, tawdry",n1
休める,やすめる,"to rest, to suspend, to give relief",n1
野生,やせい,wild,n1
奴,やつ,"vulg fellow, guy, chap",n1
闇,やみ,"darkness, shady, illegal",n1
病む,やむ,"to fall ill, to be ill",n1
和らげる,やわらげる,"to soften, to moderate, to relieve",n1
～油,ゆ, oil,n1
優位,ゆうい,"predominance, ascendancy, superiority",n1
憂鬱,ゆううつ,"depression, melancholy",n1
有益,ゆうえき,"beneficial, profitable",n1
優越,ゆうえつ,"supremacy, predominance, being superior to",n1
勇敢,ゆうかん,"bravery, heroism, gallantry",n1
夕暮れ,ゆうぐれ,"evening, evening twilight",n1
融資,ゆうし,"financing, loan",n1
有する,ゆうする,"to own, to be endowed with",n1
優勢,ゆうせい,"superiority, superior power, predominance",n1
優先,ゆうせん,"preference, priority",n1
誘導,ゆうどう,"guidance, leading, inducement",n1
融通,ゆうずう,"adaptability, versatility, finance",n1
優美,ゆうび,"grace, refinement, elegance",n1
有望,ゆうぼう,"good prospects, full of hope, promising",n1
遊牧,ゆうぼく,nomadism,n1
夕焼け,ゆうやけ,sunset,n1
有力,ゆうりょく,"influence, prominence potent",n1
幽霊,ゆうれい,"ghost, specter, phantom",n1
誘惑,ゆうわく,"temptation, allurement, lure",n1
故,ゆえ,"reason, cause, circumstances",n1
歪む,ゆがむ,"to warp, to be crooked, to be distorted",n1
揺さぶる,ゆさぶる,"to shake, to jolt, to rock, to swing",n1
指差す,ゆびさす,to point at,n1
弓,ゆみ,bow,n1
揺らぐ,ゆらぐ,"to swing, to sway, to shake",n1
緩む,ゆるむ,"to become loose, to slacken",n1
緩める,ゆるめる,"to loosen, to slow down",n1
緩やか,ゆるやか,lenient,n1
要因,よういん,"primary factor, main cause",n1
溶液,ようえき,solution,n1
用件,ようけん,business,n1
養護,ようご,"protection, nursing, protective care",n1
用紙,ようし,a form,n1
様式,ようしき,"style, form, pattern",n1
要する,ようする,"to demand, to require, to take",n1
要請,ようせい,"claim, demand, request, application",n1
様相,ようそう,aspect,n1
用品,ようひん,"articles, supplies, parts",n1
洋風,ようふう,western style,n1
用法,ようほう,"directions, rules of use",n1
要望,ようぼう,"demand for, request",n1
余暇,よか,"leisure, leisure time, spare time",n1
予感,よかん,"presentiment, premonition",n1
余興,よきょう,"side show, entertainment",n1
預金,よきん,"deposit, bank account",n1
欲,よく,"greed, wants",n1
抑圧,よくあつ,"restraint, oppression, suppression",n1
浴室,よくしつ,"bathroom, bath",n1
抑制,よくせい,"control, restraint, suppression",n1
欲深い,よくふかい,greedy,n1
欲望,よくぼう,"desire, appetite",n1
避ける,よける,"to avoid physical contact with to ward off, to avert",n1
予言,よげん,"prediction, promise, prognostication",n1
横綱,よこづな,sumo grand champion,n1
汚れ,よごれ,"dirt, filth",n1
良し,よし,all right!,n1
善し悪し,よしあし,"good or bad, merits or demerits, quality",n1
余所見,よそみ,"looking away, looking aside",n1
余地,よち,"place, room, margin",n1
与党,よとう,"government party, ruling party in power, government",n1
呼び止める,よびとめる,to flag down,n1
夜更し,よふかし,"staying up late, keeping late hours",n1
夜更け,よふけ,late at night,n1
余程,よほど,"very, much, to a large extent, quite",n1
読み上げる,よみあげる,"to read out loud and clearly, to call a roll",n1
～寄り,より,"near to  eg, North by East",n1
寄り掛かる,よりかかる,"to lean against, to recline on, to lean on, to rely on",n1
弱る,よわる,"to weaken, to be troubled, to be emaciated",n1
来場,らいじょう,attendance,n1
酪農,らくのう,dairy farming,n1
落下,らっか,"fall, drop, come down",n1
楽観,らっかん,optimism,n1
濫用,らんよう,"abuse, misuse, using to excess",n1
理屈,りくつ,"theory, reason",n1
利子,りし,interest bank,n1
利潤,りじゅん,"profit, returns",n1
理性,りせい,"reason, sense",n1
利息,りそく,interest bank,n1
立体,りったい,solid body,n1
立方,りっぽう,cube,n1
立法,りっぽう,"legislation, lawmaking",n1
利点,りてん,"advantage, point in favor",n1
略奪,りゃくだつ,"pillage, looting, robbery",n1
略語,りゃくご,"abbreviation, acronym",n1
流通,りゅうつう,"circulation of money or goods, distribution",n1
領域,りょういき,"area, territory, region",n1
了解,りょうかい,"comprehension, consent, understanding",n1
領海,りょうかい,territorial waters,n1
両極,りょうきょく,"both extremities, north and south poles",n1
良好,りょうこう,"favorable, satisfactory",n1
良識,りょうしき,good sense,n1
良質,りょうしつ,"good quality, superior quality",n1
了承,りょうしょう,"acknowledgment, understanding",n1
良心,りょうしん,conscience,n1
領地,りょうち,territory,n1
領土,りょうど,"territory, possession",n1
両立,りょうりつ,"compatibility, coexistence, standing together",n1
旅客,りょかく,passenger,n1
旅券,りょけん,passport,n1
履歴,りれき,"personal history, background, log",n1
理論,りろん,theory,n1
林業,りんぎょう,forestry,n1
類,るい,"kind, class, family",n1
類推,るいすい,analogy,n1
類似,るいじ,analogous,n1
冷酷,れいこく,"cruelty, coldheartedness, ruthless",n1
冷蔵,れいぞう,refrigeration,n1
冷淡,れいたん,"coolness, indifference",n1
恋愛,れんあい,"love, romance",n1
発病,はつびょう,"attack, to become sick",n1
初耳,はつみみ,something heard for the first time,n1
果て,はて,"the end, the extremity, the limits",n1
果てる,はてる,"to end, to be finished, to be exhausted",n1
甚だ,はなはだ,"very, greatly, exceedingly",n1
華々しい,はなばなしい,"brilliant, magnificent, spectacular",n1
花びら,はなびら,flower petal,n1
華やか,はなやか,"brilliant, gorgeous, florid",n1
阻む,はばむ,"to keep someone from doing, to stop, to oppose",n1
浜,はま,"beach, seashore",n1
浜辺,はまべ,"beach, foreshore",n1
早める,はやめる,"to hasten, to quicken, to accelerate",n1
腹立ち,はらだち,anger,n1
原っぱ,はらっぱ,"open field, empty lot, plain",n1
張り紙,はりがみ,"notice, poster",n1
遥か,はるか,"far, faraway, distant",n1
破裂,はれつ,"explosion, rupture, break off",n1
腫れる,はれる,"to swell from inflammation, to become swollen",n1
繁栄,はんえい,"prospering, prosperity, flourishing",n1
版画,はんが,art print,n1
反感,はんかん,"antipathy, revolt, animosity",n1
反響,はんきょう,"echo, reverberation, repercussion",n1
反撃,はんげき,"counterattack, counteroffensive, counterblow",n1
判決,はんけつ,"judicial decision, judgment, sentence, decree",n1
反射,はんしゃ,"reflection, reverberation",n1
繁盛,はんじょう,"prosperity, flourishing, thriving",n1
繁殖,はんしょく,"breed, multiply, propagation",n1
反する,はんする,"to be inconsistent with, to oppose, to contradict",n1
判定,はんてい,"judgment, decision, award, verdict",n1
万人,ばんにん,"all people, everybody, 10000 people",n1
晩年,ばんねん,one's last years,n1
反応,はんのう,"reaction, response",n1
万能,ばんのう,"allpurpose, almighty, omnipotent",n1
半端,はんぱ,"fragment, fraction, incompleteness",n1
反発,はんぱつ,"repelling, rebound, oppose",n1
反乱,はんらん,"rebellion, revolt, uprising",n1
氾濫,はんらん,"overflowing, flood",n1
美,び,beauty,n1
控室,ひかえしつ,waiting room,n1
控える,ひかえる,to hold back to make notes,n1
悲観,ひかん,"pessimism, disappointment",n1
引き上げる,ひきあげる,"to withdraw, to leave, to pull out",n1
率いる,ひきいる,"to lead, to spearhead a group, to command troops",n1
引き起こす,ひきおこす,to cause,n1
引下げる,ひきさげる,"to pull down, to lower, to reduce, to withdraw",n1
引きずる,ひきずる,"to drag along, to pull, to prolong",n1
引取る,ひきとる,to take back to adopt to leave,n1
否決,ひけつ,"rejection, negation, voting down",n1
日頃,ひごろ,"normally, habitually",n1
久しい,ひさしい,"long, longcontinued, old story",n1
悲惨,ひさん,"tragedy, disaster misery, wretched, pitiful",n1
比重,ひじゅう,specific gravity,n1
美術,びじゅつ,"art, fine arts",n1
秘書,ひしょ,private secretary,n1
微笑,びしょう,smile,n1
密か,ひそか,"secret, private, surreptitious",n1
浸す,ひたす,"to soak, to dip, to drench",n1
左利き,ひだりきき,"lefthandedness, sake drinker, lefthander",n1
引っ掻く,ひっかく,to scratch,n1
必修,ひっしゅう,required subject,n1
必然,ひつぜん,"inevitable, necessary",n1
匹敵,ひってき,"comparing with, rival, equal",n1
一息,ひといき,"a breath, a pause, an effort",n1
人影,ひとかげ,"man's shadow, soul",n1
人柄,ひとがら,"personality, character",n1
人気,ひとけ,sign of life,n1
一頃,ひところ,"once, some time ago",n1
人質,ひとじち,hostage,n1
一筋,ひとすじ,"a line, earnestly, blindly, straightforwardly",n1
人目,ひとめ,"glimpse, public gaze",n1
日取り,ひどり,"fixed date, appointed day",n1
雛,ひな,"young bird, chick, doll",n1
雛祭,ひなまつり,Girls' dolls' Festival,n1
日向,ひなた,"sunny place, in the sun",n1
非難,ひなん,"blame, attack, criticism",n1
避難,ひなん,"taking refuge, finding shelter",n1
日の丸,ひのまる,the Japanese flag,n1
火花,ひばな,spark,n1
悲鳴,ひめい,"shriek, scream",n1
冷やかす,ひやかす,"to banter, to make fun of, to jeer at, to cool, to refrigerate",n1
日焼け,ひやけ,sunburn,n1
標語,ひょうご,"motto, slogan, catchword",n1
描写,びょうしゃ,"depiction, description, portrayal",n1
平たい,ひらたい,"flat, even, level",n1
比率,ひりつ,"ratio, proportion, percentage",n1
